Device,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:24
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:25
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:07:26
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:27
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:28
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:29
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:30
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:31
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:32
Thermostat,5.168,0.095,0.954,4.9282,2024-11-23 22:07:33
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:07:34
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:35
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:07:36
Thermostat,5.168,0.095,0.954,4.9282,2024-11-23 22:07:37
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:38
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:39
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:40
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:41
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:42
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:43
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:07:44
Thermostat,5.168,0.106,1.062,5.4905,2024-11-23 22:07:45
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:46
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:07:47
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:48
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:49
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:50
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:51
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:52
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:53
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:54
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:55
Thermostat,5.144,0.156,1.565,8.0493,2024-11-23 22:07:56
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:57
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:58
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:07:59
Thermostat,5.168,0.095,0.954,4.9282,2024-11-23 22:08:00
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:08:01
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:02
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:03
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:04
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:05
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:06
Thermostat,5.160,0.096,0.957,4.9371,2024-11-23 22:08:07
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:08
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:09
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:10
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:11
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:12
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:13
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:14
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:15
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:16
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:17
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:18
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:19
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:08:20
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:21
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:22
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:23
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:24
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:25
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:26
Thermostat,5.168,0.095,0.954,4.9282,2024-11-23 22:08:27
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:08:28
Thermostat,5.168,0.095,0.954,4.9282,2024-11-23 22:08:29
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:30
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:31
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:32
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:33
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:34
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:35
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:36
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:37
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:38
Thermostat,5.152,0.156,1.565,8.0618,2024-11-23 22:08:39
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:40
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:41
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:42
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:43
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:44
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:45
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:46
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:08:47
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:48
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:49
Thermostat,5.152,0.096,0.957,4.9294,2024-11-23 22:08:50
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:51
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:52
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:53
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:54
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:55
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:08:56
